ts_event,symbol,best_level_ofi,integrated_ofi,multi_level_ofi,cross_asset_ofi
2024-10-21 11:54:29.223769812+00:00,AAPL,2,-9.789657362638307,2,10.07105149434047
2024-10-21 11:54:29.225030400+00:00,AAPL,3,-9.732561030435594,3,10.016567929235558
2024-10-21 11:54:29.712434212+00:00,AAPL,0,48.667877138174205,200,45.71142636325375
2024-10-21 11:54:29.764673165+00:00,AAPL,0,-68.47557719226168,-200,66.07146361235435
2024-10-21 11:54:29.764685027+00:00,AAPL,0,62.40577553791661,410,58.82066916381795
2024-10-21 11:54:36.289427977+00:00,AAPL,0,181.7887269769509,799,172.740575333135
2024-10-21 11:54:37.990793976+00:00,AAPL,200,1.5154164134990076,200,0.7166943964323214
2024-10-21 11:54:39.124291588+00:00,AAPL,-1,-351.7626265787276,-1212,336.39510443446414
2024-10-21 11:54:39.134140341+00:00,AAPL,1,331.9549265246401,1212,316.0350671853636
2024-10-21 11:54:41.233181043+00:00,AAPL,-3,-10.075139023651875,-3,10.343469319865035
2024-10-21 11:54:41.234620509+00:00,AAPL,1,-9.846753694841022,1,10.125535059445383
2024-10-21 11:54:41.235907431+00:00,AAPL,-1,-9.960946359246448,-1,10.234502189655208
2024-10-21 11:54:41.235977207+00:00,AAPL,-2,-10.018042691449162,-2,10.288985754760123
2024-10-21 11:54:41.238618235+00:00,AAPL,2,234.28547570363673,924,222.83503703851773
2024-10-21 11:54:41.239827037+00:00,AAPL,3,-9.732561030435594,3,10.016567929235558
2024-10-21 11:54:50.970297264+00:00,AAPL,0,-289.33496946070176,-1024,276.824179478001
2024-10-21 11:54:50.970336474+00:00,AAPL,0,-26.95799465481938,-29,26.453753964275954
2024-10-21 11:54:53.247532557+00:00,AAPL,-3,-10.075139023651875,-3,10.343469319865035
2024-10-21 11:54:53.248893986+00:00,AAPL,-2,-254.09317575772423,-924,243.19507428761833
2024-10-21 11:54:53.251320969+00:00,AAPL,3,-9.732561030435594,3,10.016567929235558
2024-10-21 11:54:53.252546517+00:00,AAPL,2,-9.789657362638307,2,10.07105149434047
2024-10-21 11:54:55.503497741+00:00,AAPL,0,-140.49320044486643,-428,134.7935113133081
2024-10-21 11:54:55.503541005+00:00,AAPL,0,120.09742643809703,427,113.87231077663074
2024-10-21 11:54:55.551806996+00:00,AAPL,0,59.47718917965571,400,56.02609691442775
2024-10-21 11:54:58.132928650+00:00,AAPL,0,-228.13517113340075,-800,218.42492565667445
2024-10-21 11:54:58.133944065+00:00,AAPL,0,-44.59436963039346,-200,43.28307639403932
2024-10-21 11:55:09.125042325+00:00,AAPL,0,-212.21475205714486,-837,203.23303581409957
2024-10-21 11:55:09.125055670+00:00,AAPL,0,192.40705200305737,837,182.87299856499897
2024-10-21 11:55:09.160009889+00:00,AAPL,0,7.150294600731911,29,6.09371671517536
2024-10-21 11:55:09.160051447+00:00,AAPL,0,-17.811033194348155,-27,17.725363697903845
2024-10-21 11:55:13.899151539+00:00,AAPL,0,59.47718917965571,400,56.02609691442775
2024-10-21 11:55:22.016715475+00:00,AAPL,0,-139.9051264921845,-427,134.23234802573134
2024-10-21 11:55:22.060173668+00:00,AAPL,0,120.09742643809703,427,113.87231077663074
2024-10-21 11:55:22.132778490+00:00,AAPL,0,59.47718917965571,400,56.02609691442775
2024-10-21 11:55:26.447978801+00:00,AAPL,200,1.5154164134990076,200,0.7166943964323214
2024-10-21 11:55:30.365285173+00:00,AAPL,0,-212.21475205714486,-837,203.23303581409957
2024-10-21 11:55:30.365297270+00:00,AAPL,0,192.40705200305737,837,182.87299856499897
2024-10-21 11:55:30.377046532+00:00,AAPL,0,-139.9051264921845,-427,134.23234802573134
2024-10-21 11:55:30.377110788+00:00,AAPL,0,-1.118090952261042,30,1.7963018763796874
2024-10-21 11:55:30.509413271+00:00,AAPL,0,-1.996666859739312,27,2.634673551196749
2024-10-21 11:55:30.509458075+00:00,AAPL,0,216.57930865615538,825,205.9391162696514
2024-10-21 11:55:30.559949308+00:00,AAPL,0,59.47718917965571,400,56.02609691442775
2024-10-21 11:55:31.194923125+00:00,AAPL,0,135.6495709902664,467,128.71277858848202
2024-10-21 11:55:31.195023714+00:00,AAPL,0,-27.5460686075013,-30,27.0149172518527
2024-10-21 11:55:34.079261198+00:00,AAPL,-139,-17.84024020322094,-139,17.753234174133212
2024-10-21 11:55:35.302921978+00:00,AAPL,-2,-10.018042691449162,-2,10.288985754760123
2024-10-21 11:55:35.303067914+00:00,AAPL,-3,-207.36738066720392,-840,198.607483444573
2024-10-21 11:55:35.304531207+00:00,AAPL,2,187.5025842809137,839,178.19296263036748
2024-10-21 11:55:35.305736838+00:00,AAPL,-2,-207.3102843350012,-839,198.55299987946808
2024-10-21 11:55:35.374212373+00:00,AAPL,-400,-164.6278852695206,-838,157.823776502008
2024-10-21 11:55:35.374226300+00:00,AAPL,0,172.94157299485244,601,164.298273150475
2024-10-21 11:55:38.243671650+00:00,AAPL,-201,-309.0577843634475,-1211,295.64446492104435
2024-10-21 11:55:38.243683612+00:00,AAPL,-200,-21.323116467586477,-200,21.076731645532917
2024-10-21 11:55:38.298336797+00:00,AAPL,0,48.667877138174205,200,45.71142636325375
2024-10-21 11:55:38.572413983+00:00,AAPL,401,300.6693507499028,1411,286.18114069292636
2024-10-21 11:55:44.733510979+00:00,AAPL,29,231.1018203906608,666,219.79706796372167
2024-10-21 11:55:44.791957886+00:00,AAPL,0,-249.25372681086958,-637,238.57708182477975
2024-10-21 11:55:51.293948230+00:00,AAPL,200,337.4737502973488,1410,321.30134581873307
2024-10-21 11:55:51.294217665+00:00,AAPL,-200,-357.28145035143626,-1410,341.6613830678337
2024-10-21 11:55:51.365188500+00:00,AAPL,0,-192.74927304893993,-601,184.6583103995756
2024-10-21 11:55:51.401597368+00:00,AAPL,0,172.94157299485244,601,164.298273150475
2024-10-21 11:55:53.213328704+00:00,AAPL,0,181.7887269769509,799,172.740575333135
2024-10-21 11:55:53.213365167+00:00,AAPL,0,-220.18153623874727,-850,210.83525451869258
2024-10-21 11:55:54.691386316+00:00,AAPL,0,48.667877138174205,200,45.71142636325375
2024-10-21 11:55:54.691398035+00:00,AAPL,-201,-308.2117099611574,-1210,294.83710746037394
2024-10-21 11:55:54.691407713+00:00,AAPL,0,276.92764713432445,1009,263.5258736251858
2024-10-21 11:55:54.745856609+00:00,AAPL,0,-68.47557719226168,-200,66.07146361235435
2024-10-21 11:55:54.745868744+00:00,AAPL,0,48.667877138174205,200,45.71142636325375
2024-10-21 11:55:54.762492206+00:00,AAPL,-29,-196.1395926629861,-640,187.89348667609252
2024-10-21 11:55:54.762530320+00:00,AAPL,28,176.27479627669592,639,167.47896586188702
2024-10-21 11:55:55.306692496+00:00,AAPL,0,-192.74927304893993,-601,184.6583103995756
2024-10-21 11:55:55.306705027+00:00,AAPL,0,231.5133001600704,801,220.18971813827906
2024-10-21 11:55:55.361082355+00:00,AAPL,-200,-308.1546136289547,-1209,294.782623895269
2024-10-21 11:55:55.706105479+00:00,AAPL,0,48.667877138174205,200,45.71142636325375
2024-10-21 11:55:58.151580102+00:00,AAPL,0,48.667877138174205,200,45.71142636325375
2024-10-21 11:56:07.493655598+00:00,AAPL,0,-9.348125162142972,2,9.649724108437741
2024-10-21 11:56:10.953492365+00:00,AAPL,200,1.5154164134990076,200,0.7166943964323214
2024-10-21 11:56:10.953504236+00:00,AAPL,0,-44.59436963039346,-200,43.28307639403932
2024-10-21 11:56:11.008155483+00:00,AAPL,0,-68.47557719226168,-200,66.07146361235435
